index_type,hnsw_m,hnsw_ef_construction,hnsw_ef_search,ivfflat_lists,ivfflat_probes,num_of_rows,search_time,target_rank,keyword,filepath,page,timestamp,usage,limit,active_anon,active_file,anon,anon_thp,file,file_dirty,file_mapped,file_writeback,inactive_anon,inactive_file,kernel_stack,pgactivate,pgdeactivate,pgfault,pglazyfree,pglazyfreed,pgmajfault,pgrefill,pgscan,pgsteal,shmem,slab,slab_reclaimable,slab_unreclaimable,sock,thp_collapse_alloc,thp_fault_alloc,unevictable,workingset_activate,workingset_nodereclaim,workingset_refault
hnsw,16,256,200,100,5,10,2.3065,1,キャットマニュアル   ,/app/data/pdf/cat/cat_manual.pdf,1,2024-08-02 15:55:26,24481792,8219820032,21372928,36864,5656576,0,16408576,0,11948032,0,0,552960,114688,0,0,679030,0,0,1,0,0,0,15818752,1146208,290120,856088,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,1.1063,4,1 ,/app/data/pdf/cat/cat_manual.pdf,2,2024-08-02 15:55:31,25501696,8219820032,22106112,36864,6311936,0,16433152,0,13647872,0,0,552960,114688,0,0,680729,0,0,1,0,0,0,15843328,1149440,290120,859320,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.6249,5,2 ,/app/data/pdf/cat/cat_manual.pdf,3,2024-08-02 15:55:35,25493504,8219820032,22429696,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,681037,0,0,1,0,0,0,15843328,1148824,290120,858704,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.6087,9,3 ,/app/data/pdf/cat/cat_manual.pdf,4,2024-08-02 15:55:39,25493504,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,681269,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,1.3945,6,4 ,/app/data/pdf/cat/cat_manual.pdf,5,2024-08-02 15:55:43,25493504,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,681499,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.9291,8,5 ,/app/data/pdf/cat/cat_manual.pdf,6,2024-08-02 15:55:47,25493504,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,681730,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.9517,1,1 This is test.  ,/app/data/pdf/test/test.pdf,1,2024-08-02 15:55:51,25501696,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,683018,0,0,1,0,0,0,15843328,1148824,290120,858704,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.9827,1,2 2nd page.  ,/app/data/pdf/test/test.pdf,2,2024-08-02 15:55:55,25493504,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,683250,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,0.5642,1,1 犬のマニュアル  ,/app/data/pdf/dog/dog_manual.pdf,1,2024-08-02 15:55:59,25493504,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,683483,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
hnsw,16,256,200,100,5,10,1.3393,1,2 犬の種類  (page2)  ,/app/data/pdf/dog/dog_manual.pdf,2,2024-08-02 15:56:04,25751552,8219820032,22466560,36864,6623232,0,16433152,0,13647872,0,0,552960,114688,0,0,683713,0,0,1,0,0,0,15843328,1148552,290120,858432,0,0,2,0,0,0,0
